"buyerDelay","sellerDelay","gap","successes","deviation","variance"
0,55,7,5,534277.6,55549
0,55,12,5,255740,39115
0,55,9,5,625442.2,50830.4
0,55,11,5,390010.8,40370.4
0,55,14,5,268846,20905.8
0,55,13,5,318260.4,34108.6
0,56,7,5,93768.8,36568.6
0,56,8,5,185939.8,38492.4
0,56,10,5,297739,42358
0,56,11,5,367141.4,35967.6
0,56,6,5,733480,55248.2
0,56,5,5,955142.4,64717.8
0,56,12,5,208120.6,18742.8
0,56,9,5,547152.6,48405.8
0,56,13,5,339854.2,28167.2
0,57,7,5,139921.6,36193.6
0,56,14,5,199116.2,34617.2
0,57,5,5,484585.8,59030.4
0,57,6,5,411864.6,53664
0,57,8,5,515580.8,48160.8
0,57,12,5,378090.2,31763.4
0,57,11,5,331927.8,43670
0,57,13,5,184460.8,25240.4
0,57,9,5,540078.2,54955.8
0,57,10,5,796207,56815.2
0,57,14,5,226836.6,36190
0,58,6,5,274259.4,54458.8
0,58,7,5,263624.2,47129.6
0,58,5,5,782900.8,70168.2
0,58,10,5,315360,34089
0,58,11,5,197242.6,39277.8
0,58,9,5,361379.8,44875
0,58,8,5,409023,54860.4
0,58,13,5,163457.8,22552.8
0,58,12,5,364398,42545
0,59,6,5,271277.8,59924.4
0,58,14,5,321398.8,33880
0,59,8,5,303870.6,32518
0,59,7,5,440366.4,60994.6
0,59,5,5,730759,60980.6
0,59,9,5,359375.2,48587.4
0,59,10,5,366821.2,52814.8
0,59,11,5,485081.2,30336.6
0,59,12,5,345993.6,37330.8
0,59,13,5,273375,42203.8
0,59,14,5,266447.2,29310.4
0,60,5,5,449248.2,67498.6
0,60,6,5,602865.2,46238.6
0,60,7,5,623005,56226.4
0,60,9,5,594265.6,43023.2
0,60,8,5,736335.4,54309
0,60,13,5,332185.4,30101.2
0,60,12,5,154417.2,34073.6
0,60,11,5,441440,34126.6
0,60,10,5,509154,53205.6
0,60,14,5,277571.8,27749.6
0,61,6,5,453983.8,58649.6
0,61,5,5,517015.4,62947.8
0,61,9,5,419719.6,43875.2
0,61,10,5,227012.2,22520.4
0,61,13,5,85600,24935
0,61,7,5,1094642.4,67659.4
0,61,8,5,1145808.8,53073.4
0,61,12,5,393309.2,39832
0,61,14,5,214019.2,26499.4
0,62,8,5,191582,49427.2
0,61,11,5,859426.8,51072.6
0,62,5,5,694403.2,75159
0,62,6,5,751957.2,70387.6
0,62,9,5,431958.6,48440
0,62,7,5,961843.4,66971.4
0,62,11,5,312685.2,39657.4
0,62,10,5,478209.8,52558
0,62,12,5,278676,46882.8
0,62,13,5,408524.8,26178.2
0,62,14,5,228832.4,39622.4
0,63,9,5,197077.2,33054.6
0,63,8,5,414732.2,51060.8
0,63,6,5,587945.2,50705.8
0,63,5,5,808110,66639.4
0,63,13,5,167056.8,29456.6
0,63,12,5,350914.6,31302.4
0,63,11,5,364037.2,39654
0,63,7,5,1121255.8,48141.4
0,64,6,5,268280.6,43677.4
0,63,14,5,378123.6,36511.8
0,63,10,5,793877.8,54726
0,64,5,5,647732.6,61536.2
0,64,9,5,237726.8,32875.6
0,64,10,5,204373.6,41374.8
0,64,11,5,218004.2,33659.8
0,64,8,5,507466.4,40711.2
0,64,7,5,1117178,64534.6
0,64,14,5,241551.4,24758.6
0,64,13,5,307165.8,39196.2
0,64,12,5,558999.2,50020
0,65,5,5,743930,67899
0,65,8,5,302307,45902.2
0,65,6,5,640450.8,54055
0,65,10,5,277177,42626
0,65,7,5,911475.2,53647.4
0,65,9,5,576403.8,53694.6
0,65,11,5,315927.8,32184.4
0,65,13,5,337099.4,28451.2
0,65,12,5,529677,41935
0,65,14,5,298366,34534
0,66,5,5,482769.4,62539.4
0,66,7,5,478220.2,51736.6
0,66,6,5,696164.8,55786.6
0,66,10,5,277767.2,35226.8
0,66,8,5,612276.4,37165
0,66,9,5,497043.6,51029.2
0,66,12,5,322458.6,38156.2
0,66,13,5,299579,25125.4
0,66,11,5,649364.6,35134.4
0,66,14,5,197439.4,38274.8
0,67,6,5,650877.4,36424.6
0,67,8,5,647394.8,40962.6
0,67,7,5,653421,57196.8
0,67,5,5,997664,75009
0,67,9,5,467243,53836
0,67,14,5,274287.2,22581.2
0,67,10,5,319415.2,38940
0,67,13,5,160026.4,31215.6
0,67,11,5,452902.6,49442.2
0,67,12,5,700470.8,42907
0,68,7,5,550444,55853.4
0,68,6,5,657590.2,63274
0,68,8,5,602569.4,45170
0,68,10,5,165880.4,27785
0,68,9,5,408268.2,46346.2
0,68,5,5,1124044,71556.4
0,68,12,5,344144.2,37364.6
0,68,14,5,309031.6,30856
0,68,11,5,659926.4,44439.2
0,69,5,5,658627.6,68343.8
0,68,13,5,519931.6,45104.2
0,69,6,5,416730.6,44971.6
0,69,7,5,735856.6,51379.6
0,69,8,5,642733.4,51359.2
0,69,10,5,283275.4,39719.6
0,69,11,5,291266,45046.2
0,69,9,5,443411,53898.2
0,69,13,5,398526.6,33594.8
0,69,14,5,443781.2,31316.4
0,69,12,5,357845.2,37391.8
0,70,5,5,695506,69819.4
0,70,6,5,917185.4,67663
0,70,7,5,562073.6,51528.2
0,70,8,5,627647,53192.4
0,70,9,5,583732.6,55548.2
0,70,10,5,416635.4,43331.6
0,70,13,5,192179.6,31391.2
0,70,12,5,281241.8,41785.2
0,70,11,5,442730,41248.4
0,70,14,5,328342.6,35369.8
0,71,6,5,388816,53669.4
0,71,5,5,573015.4,57599.6
0,71,8,5,351254.6,47707.2
0,71,10,5,362238.8,33810.4
0,71,12,5,103567.2,37708
0,71,7,5,954428.4,63733.2
0,71,9,5,466274.4,48789.6
0,71,11,5,613400.2,43096.4
