"BEEF_production","BEEF_workers","BEEF_price","BEEF_volume","BEEF_outputInventory","BEEF_inputInventory","BEEF_shortages","FOOD_production","FOOD_workers","FOOD_price","FOOD_volume","FOOD_outputInventory","FOOD_inputInventory","FOOD_shortages"
"25","25","45","3","3949","400","false","3","3","98","3","3","212","false"
"25","25","45","3","3971","400","false","3","3","98","3","3","215","false"
"25","25","45","3","3993","400","false","3","3","98","3","3","218","false"
"25","25","45","3","4015","400","false","3","3","98","3","3","221","false"
"25","25","45","3","4037","400","false","3","3","98","3","3","224","false"
"25","25","45","3","4059","400","false","3","3","98","3","3","227","false"
"25","25","45","3","4081","400","false","3","3","98","3","3","230","false"
"25","25","45","3","4103","400","false","3","3","98","3","3","233","false"
"25","25","45","3","4125","400","false","3","3","98","3","3","236","false"
"25","26","45","3","4147","400","false","3","3","98","3","3","239","false"
"25","26","45","3","4169","400","false","3","3","98","3","3","242","false"
"26","26","45","3","4192","400","false","3","3","98","3","3","245","false"
"26","26","45","3","4215","400","false","3","3","98","3","3","248","false"
"26","26","45","3","4238","400","false","3","3","98","3","3","251","false"
"26","26","45","3","4261","400","false","3","3","98","3","3","254","false"
"26","26","45","3","4284","400","false","3","3","98","3","3","257","false"
"26","26","45","3","4307","400","false","3","3","98","3","3","260","false"
"26","26","45","3","4330","400","false","3","3","98","3","3","263","false"
"26","26","45","3","4353","400","false","3","3","98","3","3","266","false"
"26","26","45","3","4376","400","false","3","3","98","3","3","269","false"
"26","26","45","3","4399","400","false","3","4","98","3","3","272","false"
"26","26","45","3","4421","400","false","4","4","98","3","4","275","false"
"26","27","45","4","4443","400","false","4","4","97","3","4","279","false"
"27","27","45","4","4466","400","false","4","4","97","4","4","283","false"
"27","27","45","4","4489","400","false","4","4","96","4","3","288","false"
"27","27","45","4","4512","400","false","4","4","97","5","3","292","false"
"27","27","45","4","4535","400","false","4","4","97","4","3","296","false"
"27","27","45","4","4558","400","false","4","4","97","4","3","300","false"
"27","27","45","4","4581","400","false","4","4","97","4","3","304","false"
"27","27","45","4","4604","400","false","4","4","97","4","3","308","false"
"27","27","45","4","4627","400","false","4","4","97","4","3","312","false"
"27","27","45","4","4650","400","false","4","4","98","4","4","315","false"
"27","27","45","4","4673","400","false","4","4","97","3","4","319","false"
"27","27","45","4","4696","400","false","4","4","97","4","4","323","false"
"27","27","44","4","4719","400","false","4","4","97","4","4","327","false"
"27","28","44","4","4742","400","false","4","4","97","4","4","331","false"
"28","28","44","4","4766","400","false","4","4","97","4","4","335","false"
"29","28","44","4","4791","400","false","4","4","97","4","4","339","false"
"28","28","44","4","4815","400","false","4","4","97","4","4","343","false"
"28","28","44","4","4839","400","false","4","4","97","4","4","347","false"
"28","28","44","4","4863","400","false","4","4","97","4","4","351","false"
"28","28","44","4","4887","400","false","4","4","97","4","4","355","false"
"28","28","44","4","4911","400","false","4","4","97","4","4","359","false"
"28","28","44","4","4935","400","false","4","4","97","4","4","363","false"
"28","28","44","4","4959","400","false","4","4","97","4","4","367","false"
"28","28","44","4","4983","400","false","4","4","97","4","4","371","false"
"28","28","44","4","5007","400","false","4","4","97","4","4","375","false"
"28","28","44","4","5031","400","false","4","4","97","4","4","379","false"
"28","28","44","4","5055","400","false","4","4","97","4","4","383","false"
"28","28","44","4","5079","400","false","4","4","97","4","4","387","false"
"28","28","44","4","5103","400","false","4","4","97","4","4","391","false"
"28","28","44","4","5127","400","false","4","4","97","4","4","395","false"
"28","28","44","4","5151","400","false","4","4","97","4","4","399","false"
